Pt.	Date	Time	RT/s	R/Omiga	
	427	2018_02_13	18_03_13	4260	107.61478
	428	2018_02_13	18_03_23	4270	107.61481
	429	2018_02_13	18_03_33	4280	107.61525
	430	2018_02_13	18_03_43	4290	107.61531
	431	2018_02_13	18_03_53	4300	107.61525
	432	2018_02_13	18_04_03	4310	107.61519
	433	2018_02_13	18_04_13	4320	107.6156
	434	2018_02_13	18_04_23	4330	107.61543
	435	2018_02_13	18_04_33	4340	107.61575
	436	2018_02_13	18_04_43	4350	107.61596
	437	2018_02_13	18_04_53	4360	107.61601
	438	2018_02_13	18_05_03	4370	107.61593
	439	2018_02_13	18_05_13	4380	107.61584
	440	2018_02_13	18_05_23	4390	107.61596
	441	2018_02_13	18_05_33	4400	107.61634
	442	2018_02_13	18_05_43	4410	107.61678
	443	2018_02_13	18_05_53	4420	107.61654
	444	2018_02_13	18_06_03	4430	107.61684
	445	2018_02_13	18_06_13	4440	107.6166
	446	2018_02_13	18_06_23	4450	107.61728
	447	2018_02_13	18_06_33	4460	107.6171
	448	2018_02_13	18_06_43	4470	107.61737
	449	2018_02_13	18_06_53	4480	107.61742
	450	2018_02_13	18_07_03	4490	107.61739
	451	2018_02_13	18_07_13	4500	107.61807
	452	2018_02_13	18_07_23	4510	107.61822
	453	2018_02_13	18_07_33	4520	107.61807
	454	2018_02_13	18_07_43	4530	107.61819
	455	2018_02_13	18_07_53	4540	107.61872
	456	2018_02_13	18_08_03	4550	107.61822
	457	2018_02_13	18_08_13	4560	107.61839
	458	2018_02_13	18_08_23	4570	107.61883
	459	2018_02_13	18_08_33	4580	107.61919
	460	2018_02_13	18_08_43	4590	107.6191
	461	2018_02_13	18_08_53	4600	107.61942
	462	2018_02_13	18_09_03	4610	107.61945
	463	2018_02_13	18_09_13	4620	107.61989
	464	2018_02_13	18_09_23	4630	107.62004
	465	2018_02_13	18_09_33	4640	107.61998
	466	2018_02_13	18_09_43	4650	107.61977
	467	2018_02_13	18_09_53	4660	107.62018
	468	2018_02_13	18_10_03	4670	107.62065
	469	2018_02_13	18_10_13	4680	107.62086
	470	2018_02_13	18_10_23	4690	107.62077
	471	2018_02_13	18_10_33	4700	107.62104
	472	2018_02_13	18_10_43	4710	107.6211
	473	2018_02_13	18_10_53	4720	107.62092
	474	2018_02_13	18_11_03	4730	107.62142
	475	2018_02_13	18_11_13	4740	107.62186
	476	2018_02_13	18_11_23	4750	107.62209
	477	2018_02_13	18_11_33	4760	107.62195
	478	2018_02_13	18_11_43	4770	107.62177
	479	2018_02_13	18_11_53	4780	107.62227
	480	2018_02_13	18_12_03	4790	107.62248
	481	2018_02_13	18_12_13	4800	107.62239
	482	2018_02_13	18_12_23	4810	107.62239
	483	2018_02_13	18_12_33	4820	107.62233
	484	2018_02_13	18_12_43	4830	107.62206
	485	2018_02_13	18_12_53	4840	107.62277
	486	2018_02_13	18_13_03	4850	107.62297
	487	2018_02_13	18_13_13	4860	107.62324
	488	2018_02_13	18_13_23	4870	107.62265
	489	2018_02_13	18_13_33	4880	107.62271
	490	2018_02_13	18_13_43	4890	107.62274
	491	2018_02_13	18_13_53	4900	107.62289
	492	2018_02_13	18_14_03	4910	107.62312
	493	2018_02_13	18_14_13	4920	107.62309
	494	2018_02_13	18_14_23	4930	107.62306
	495	2018_02_13	18_14_33	4940	107.62318
	496	2018_02_13	18_14_43	4950	107.62277
	497	2018_02_13	18_14_53	4960	107.62315
	498	2018_02_13	18_15_03	4970	107.62327
	499	2018_02_13	18_15_13	4980	107.62277
	500	2018_02_13	18_15_23	4990	107.62321
	501	2018_02_13	18_15_33	5000	107.62303
	502	2018_02_13	18_15_43	5010	107.62353
	503	2018_02_13	18_15_53	5020	107.62353
	504	2018_02_13	18_16_03	5030	107.62389
	505	2018_02_13	18_16_13	5040	107.6238
	506	2018_02_13	18_16_23	5050	107.6238
	507	2018_02_13	18_16_33	5060	107.62386
	508	2018_02_13	18_16_43	5070	107.62441
	509	2018_02_13	18_16_53	5080	107.62406
	510	2018_02_13	18_17_03	5090	107.62444
	511	2018_02_13	18_17_13	5100	107.62453
	512	2018_02_13	18_17_23	5110	107.62421
	513	2018_02_13	18_17_33	5120	107.62427
	514	2018_02_13	18_17_43	5130	107.62474
	515	2018_02_13	18_17_53	5140	107.62482
	516	2018_02_13	18_18_03	5150	107.62424
	517	2018_02_13	18_18_13	5160	107.62497
	518	2018_02_13	18_18_23	5170	107.62538
	519	2018_02_13	18_18_33	5180	107.62488
	520	2018_02_13	18_18_43	5190	107.62579
	521	2018_02_13	18_18_53	5200	107.62518
	522	2018_02_13	18_19_03	5210	107.62527
	523	2018_02_13	18_19_13	5220	107.625
	524	2018_02_13	18_19_23	5230	107.62527
	525	2018_02_13	18_19_33	5240	107.62556
	526	2018_02_13	18_19_43	5250	107.62532
	527	2018_02_13	18_19_53	5260	107.62562
	528	2018_02_13	18_20_03	5270	107.62597
	529	2018_02_13	18_20_13	5280	107.62591
	530	2018_02_13	18_20_23	5290	107.62585
	531	2018_02_13	18_20_33	5300	107.62623
	532	2018_02_13	18_20_43	5310	107.62641
	533	2018_02_13	18_20_53	5320	107.62629
	534	2018_02_13	18_21_03	5330	107.62644
	535	2018_02_13	18_21_13	5340	107.62665
	536	2018_02_13	18_21_23	5350	107.62621
	537	2018_02_13	18_21_33	5360	107.62688
	538	2018_02_13	18_21_43	5370	107.62673
	539	2018_02_13	18_21_53	5380	107.62682
	540	2018_02_13	18_22_03	5390	107.62723
	541	2018_02_13	18_22_13	5400	107.62717
	542	2018_02_13	18_22_23	5410	107.62715
	543	2018_02_13	18_22_33	5420	107.62729
	544	2018_02_13	18_22_43	5430	107.6272
	545	2018_02_13	18_22_53	5440	107.62688
	546	2018_02_13	18_23_03	5450	107.62691
	547	2018_02_13	18_23_13	5460	107.62767
	548	2018_02_13	18_23_23	5470	107.62697
	549	2018_02_13	18_23_33	5480	107.6275
	550	2018_02_13	18_23_43	5490	107.62738
	551	2018_02_13	18_23_53	5500	107.62767
	552	2018_02_13	18_24_03	5510	107.6275
	553	2018_02_13	18_24_13	5520	107.62747
	554	2018_02_13	18_24_23	5530	107.62835
	555	2018_02_13	18_24_33	5540	107.62797
	556	2018_02_13	18_24_43	5550	107.628
	557	2018_02_13	18_24_53	5560	107.6275
	558	2018_02_13	18_25_03	5570	107.62785
	559	2018_02_13	18_25_13	5580	107.62779
	560	2018_02_13	18_25_23	5590	107.62759
	561	2018_02_13	18_25_33	5600	107.62776
	562	2018_02_13	18_25_43	5610	107.62732
	563	2018_02_13	18_25_53	5620	107.62759
	564	2018_02_13	18_26_03	5630	107.6282
	565	2018_02_13	18_26_13	5640	107.62782
	566	2018_02_13	18_26_23	5650	107.6277
	567	2018_02_13	18_26_33	5660	107.628
	568	2018_02_13	18_26_43	5670	107.62732
	569	2018_02_13	18_26_53	5680	107.62788
	570	2018_02_13	18_27_03	5690	107.62753
	571	2018_02_13	18_27_13	5700	107.62756
	572	2018_02_13	18_27_23	5710	107.62782
	573	2018_02_13	18_27_33	5720	107.628
	574	2018_02_13	18_27_43	5730	107.62767
	575	2018_02_13	18_27_53	5740	107.62788
	576	2018_02_13	18_28_03	5750	107.62797
	577	2018_02_13	18_28_13	5760	107.62747
	578	2018_02_13	18_28_23	5770	107.6277
	579	2018_02_13	18_28_33	5780	107.62814
	580	2018_02_13	18_28_43	5790	107.62794
